StintId,LapNumber,LapDistance,LastPX,LastPZ,FirstPX,FirstPZ,MaxPX,MaxPZ,MinPX,MinPZ
64b5c1ab-fab6-427b-a9ee-a8107e82a4f8,2,5751,545.24,-152.427,545.823,-151.762,980.208,517.275,-980.519,-526.076
ab5e1cb8-e996-4ac9-bac7-1ad783ba6685,2,2980,-89.587,-15.203,-88.943,-14.787,488.314,634.735,-366.924,-193.218
d878df57-6dc1-4f5a-a4a1-635b0207d87c,2,2067,-152.241,-175.698,-151.529,-175.665,193.091,188.483,-323.578,-177.473
fa3e72aa-187a-4f75-9759-54bcf8a02ea5,2,5070,-1076.88,1879.51,-1077.57,1880.21,-914.514,3162.76,-2035.54,1640.1
fd7ebde4-0be3-48cf-9aec-000001efde22,2,5421,-340.119,-516.934,-340.054,-517.884,362.36,878.711,-365.399,-876.17
06e08aaf-0eb8-4fe4-b98a-53a9a9ce5821,2,4276,565.369,274.634,564.434,274.892,855.586,385.38,-392.043,-404.957
084b5ac4-c39f-4c9e-a326-bac3cf65ea85,2,4288,565.168,273.707,564.265,273.946,855.4,385.086,-392.051,-405.723
15e4424b-3126-4f00-9100-b3ebc1273cf1,2,4287,566.088,274.638,565.201,274.879,856.116,385.645,-393.579,-403.967
29aa6cc6-b017-4df9-abad-ac48de57da50,2,5745,548.138,-154.389,548.71,-153.696,980.206,517.294,-980.519,-526.083
489e86db-945f-41b4-855d-08139de98bea,2,4299,566.005,274.657,565.162,274.884,856.099,385.859,-392.527,-405.62
6321022e-a8d9-4d97-8784-7b08324caaf6,2,4295,565.229,273.697,564.345,273.95,856.423,386.38,-392.274,-404.76
685fba55-8f60-4e32-860b-3cf12899f3d3,2,4282,564.735,271.134,563.956,271.338,855.662,385.886,-391.399,-405.049
8bba7961-7b92-4de5-9f34-941286c3f59a,2,4298,565.229,274.379,564.364,274.612,855.446,386.32,-394.659,-406.525
8f77dd92-73b6-45fb-b8c0-c537f3f0f797,2,4294,566.002,274.572,565.133,274.802,855.643,386.858,-392.685,-404.706
9890adbb-e183-4d55-8e98-d753b102d013,2,5735,547.528,-154.894,548.1,-154.191,980.204,517.279,-980.514,-526.076
9df07967-66e4-4781-ae17-586a3da9d4af,2,4291,565.602,273.275,564.752,273.512,856.788,385.269,-392.978,-403.91
7af2d270-50e3-4958-b97e-a87d002eec91,2,4302,565.475,274.643,564.642,274.867,855.562,385.305,-397.091,-406.038
b2df6586-1637-442b-b32f-c12f0ae5df83,2,4288,565.077,273.953,564.169,274.196,855.762,385.311,-393.97,-405.805
2e6a5104-ed4d-46e8-868d-381f79d88682,2,4295,565.253,274.317,564.358,274.564,855.715,385.272,-395.391,-404.917
32316ab1-815c-430c-a7ba-6209c938221b,2,2363,-613.68,-166.05,-613.283,-166.868,-317.737,506.493,-756.235,-377.193
343d6d14-162a-4f33-96f4-500d71f160c0,2,2367,-612.158,-165.643,-611.739,-166.456,-321.044,507.607,-756.495,-377.408
7ca69a22-6756-4766-a5ec-a2718a624240,2,4289,565.126,272.806,564.294,273.039,855.949,387.388,-391.996,-405.367
bcd6db37-0f92-4a2d-9939-4086e39cac0f,2,4292,565.194,274.062,564.33,274.299,855.506,386.503,-395.044,-406.824
c4059b78-4cd0-4a9c-ab42-973c32297124,2,4295,565.246,274.666,564.418,274.886,855.74,386.128,-392.046,-406.18
ce625f68-5d9c-41c8-a034-349ed6bfce32,2,4288,566.118,275.35,565.273,275.57,855.991,387.488,-391.63,-406.025
eb4b4ec2-6bae-4182-ab1a-527206c333a9,2,2369,-612.247,-165.829,-611.866,-166.679,-318.104,507.761,-754.943,-379.014
f2ab7a50-b227-4925-ae10-d1fee9bc0716,2,4293,565.529,275.095,564.675,275.325,856.607,384.96,-392.408,-405.968
5ee8a2d4-2d4f-4f6d-8392-4d663aacf0fd,2,5335,143.716,310.662,144.756,310.761,949.607,366.466,-959.513,-398.644
97f6f5ac-48ff-4a8e-8333-7a3dcb19b2a4,2,5323,143.334,310.63,144.368,310.741,948.735,365.688,-958.366,-397.537
f05033ff-6eac-44d1-af92-290392eaa20b,2,5326,143.39,310.167,144.428,310.25,948.964,367.362,-958.891,-398.786
09279d24-fb3d-4cc8-b2c1-1f6047247aa5,2,5338,143.153,309.699,144.195,309.797,948.615,366.419,-963.781,-398.311
5d365ffe-cc15-46a8-bfb6-40eaebd88226,2,5325,142.666,311.936,143.711,312.043,949.174,366.742,-957.698,-398.926
7e869c89-e2bb-4a80-ab41-81692caed6ba,2,5333,143.797,307.467,144.833,307.569,948.712,366.359,-968.342,-398.538
87c3d144-0440-4bbe-9874-bf0f80497897,2,5325,143.418,311.276,144.461,311.368,950.002,367.18,-956.988,-397.994
a33adc88-1917-49dc-b4fe-7bbd8b739b36,2,5289,145.314,289.309,145.371,289.31,949.153,366.661,-959.024,-397.956
a9dff092-2361-4e37-a9d1-797b10a10451,2,5330,143.373,310.011,144.414,310.102,949.201,366.333,-959.135,-398.842
b2d16ee5-0958-4352-9f1b-cea0f7148d77,2,5287,145.314,289.309,145.371,289.31,949.283,366.691,-958.178,-398.452
d98a45d2-4551-46c7-aebb-1b9487dcb54c,2,5322,142.723,312.323,143.769,312.39,949.462,367.472,-957.664,-398.762
ec09ce1f-3975-43fb-8e35-1e000c93cce0,2,4309,565.338,274.915,564.448,275.152,856.013,386.206,-396.422,-403.898
